outcome,variable,distribution,bic,param1_name,param1_value,param2_name,param2_value
1,hormone3,exponential,1059.0295462829763,rate,0.10090180992621556,,
1,hormone4,normal,1294.538065670042,mean,9.401250000000001,sd,13.393547828618823
1,hormone4,lognormal,965.4065134501475,meanlog,1.8420443217813502,sdlog,0.7589591401731791
1,hormone4,exponential,1042.1448247459462,rate,0.10636883393165801,,
1,hormone5,normal,2210.879791890396,mean,276.44851875,sd,234.70771641756826
1,hormone5,exponential,2124.123050505734,rate,0.003617310031255141,,
1,hormone6,normal,1706.5204822733965,mean,75.75437500000001,sd,48.531745856288495
1,hormone6,lognormal,1660.2737470482737,meanlog,4.119715831960176,sdlog,0.6824822620137495
1,hormone6,exponential,1709.873957334356,rate,0.013200557723563818,,
1,hormone7,normal,904.3843972824886,mean,5.65,sd,3.9572244060704977
1,hormone7,lognormal,865.1101100638664,meanlog,1.4768970030810127,sdlog,0.7992461734885865
1,hormone7,exponential,879.2049482659057,rate,0.17699115044247787,,
1,hormone8,normal,1827.101950297907,mean,153.7625,sd,70.74170070580718
1,hormone8,lognormal,1811.2493243337597,meanlog,4.924435205361086,sdlog,0.48922173994456664
1,hormone8,exponential,1936.406119157603,rate,0.006503536297861963,,
1,hormone10_generated,normal,141.25920213044412,mean,0.5082525045126352,sd,0.36450195541695446
1,hormone10_generated,lognormal,38.962453865640086,meanlog,-0.8719742712115918,sdlog,0.6332269248488073
1,hormone10_generated,exponential,108.50656620950659,rate,1.9675259661708957,,
1,lipids1,normal,145.42328689909488,mean,0.9846250000000001,sd,0.36927612889949984
1,lipids1,lognormal,143.9036845179662,meanlog,-0.0910949537008014,sdlog,0.40257880932262335
1,lipids1,exponential,320.1169591084663,rate,1.015615081883966,,
1,lipids2,normal,450.9101258884366,mean,4.763562500000001,sd,0.9592877220071933
1,lipids2,lognormal,432.81162261828774,meanlog,1.5418192961399448,sdlog,0.1939914205224745
1,lipids2,exponential,824.5938338738642,rate,0.2099269191912565,,
1,lipids3,normal,39.9926412203768,mean,1.115,sd,0.2656219117467533
1,lipids3,lognormal,28.058050545973032,meanlog,0.08105292062559084,sdlog,0.23597488898601676
1,lipids3,exponential,359.90858338710007,rate,0.8968609865470852,,
1,lipids4,normal,445.0938089855707,mean,3.1979374999999997,sd,0.9420092202806456
1,lipids4,lognormal,427.386605637918,meanlog,1.1203666827317371,sdlog,0.290706268069515
1,lipids4,exponential,697.0771164571926,rate,0.31270154591826765,,
1,сarb_metabolism,normal,352.55154684346496,mean,4.8600625,sd,0.7054391335145436
1,сarb_metabolism,lognormal,354.0264497323405,meanlog,1.5703299646771083,sdlog,0.14739257423600088
1,сarb_metabolism,exponential,831.0115891470792,rate,0.20575867079898666,,
1,lipid_pero1,normal,405.7410217836979,mean,2.1810625000000003,sd,0.8330032989693078
1,lipid_pero1,lognormal,402.53198881309135,meanlog,0.7015792504861416,sdlog,0.40888343850185693
1,lipid_pero1,exponential,574.6150596995382,rate,0.4584921339943261,,
1,lipid_pero2,normal,308.28698770299786,mean,1.4482875,sd,0.6143063505643988
1,lipid_pero2,lognormal,297.42005742168226,meanlog,0.2759317618965295,sdlog,0.45061027333765
1,lipid_pero2,exponential,443.5973574884798,rate,0.6904706420513883,,
1,lipid_pero3,normal,186.5571430246041,mean,0.75525,sd,0.41992997928226083
1,lipid_pero3,lognormal,161.29420245875548,meanlog,-0.44784076736758127,sdlog,0.6072751962975201
1,lipid_pero3,exponential,235.24910702632002,rate,1.32406487917908,,
1,lipid_pero4,normal,352.00421881204943,mean,1.49525,sd,0.7042335816332533
1,lipid_pero4,lognormal,332.6603647622154,meanlog,0.2870534113198505,sdlog,0.4975057617777146
1,lipid_pero4,exponential,453.80906723684325,rate,0.6687844841999666,,
1,lipid_pero5,normal,843.5767992159613,mean,11.7644375,sd,3.2723851673655027
1,lipid_pero5,lognormal,889.8539898257584,meanlog,2.416731926499667,sdlog,0.337362729826881
1,lipid_pero5,exponential,1113.9011609293495,rate,0.08500193910673587,,
1,antioxidant1,normal,-115.40089484133657,mean,1.6220625000000002,sd,0.1634437857299873
1,antioxidant1,lognormal,-113.12485708427747,meanlog,0.4785436636066599,sdlog,0.10200665614076945
1,antioxidant1,exponential,479.85868985573484,rate,0.6164990559858204,,
1,antioxidant2,normal,206.3981265165183,mean,2.3005,sd,0.4467910585497431
1,antioxidant2,lognormal,195.49228325680411,meanlog,0.8147436157349236,sdlog,0.19118980515464779
1,antioxidant2,exponential,591.6756508115175,rate,0.4346881112801565,,
1,antioxidant3,normal,133.1759437318288,mean,1.9477499999999999,sd,0.3554098866098128
1,antioxidant3,lognormal,132.70663218041884,meanlog,0.6498566516304785,sdlog,0.18529487653959406
1,antioxidant3,exponential,538.4111290884595,rate,0.5134129123347453,,
1,antioxidant4,normal,826.9598551249419,mean,8.5661875,sd,3.106793538335586
1,antioxidant4,lognormal,813.4126490376503,meanlog,2.0810799301861724,sdlog,0.3716421791976645
1,antioxidant4,exponential,1012.3784595165356,rate,0.11673804711839426,,
1,antioxidant5,normal,64.29955799708839,mean,0.763625,sd,0.2865843843879146
1,antioxidant5,lognormal,27.01912719076014,meanlog,-0.3339580623520135,sdlog,0.3561990644062484
1,antioxidant5,exponential,238.77807045132792,rate,1.3095432967752496,,
